,cumulative_susceptible,cumulative_infected,cumulative_dead,cumulative_recovered
234,308339766.0,14061931,276175,5322128.0
235,308031518.0,14285352,279112,5404018.0
236,307729806.0,14517996,281809,5470389.0
237,307405994.0,14733807,284173,5576026.0
238,307174960.0,14915060,285536,5624444.0
239,306888838.0,15109469,287136,5714557.0
240,306589407.0,15333921,289757,5786915.0
241,306260597.0,15556569,292938,5889896.0
242,305931024.0,15787997,295932,5985047.0
243,305537261.0,16028086,299339,6135314.0
244,305205695.0,16245883,301817,6246605.0
245,304964610.0,16433854,303454,6298082.0
246,304667197.0,16628168,305104,6399531.0
247,304363771.0,16837160,308190,6490879.0
248,304006667.0,17083804,311868,6597661.0
249,303679276.0,17323704,315369,6681651.0
250,303349969.0,17575536,318335,6756160.0
251,303028353.0,17767638,321013,6882996.0
252,302786447.0,17955653,322744,6935156.0
253,302477186.0,18154356,324644,7043814.0
254,302192467.0,18352463,328043,7127027.0
255,301851564.0,18582087,331466,7234883.0
256,301551702.0,18776242,334362,7337694.0
257,301427779.0,18874122,335819,7362280.0
258,301088140.0,19100538,337710,7473612.0
259,300874046.0,19256383,339147,7530424.0
260,300625056.0,19430535,341149,7603260.0
261,300322282.0,19630943,344765,7702010.0
262,299979229.0,19864644,348557,7807570.0
263,299628458.0,20100244,351985,7919313.0
264,299046529.0,20254160,354120,8345191.0
265,298996736.0,20554622,356677,8091965.0
266,298742761.0,20763475,358134,8135630.0
267,298392575.0,20947480,360228,8299717.0
268,298075709.0,21182522,363918,8377851.0
269,297718604.0,21438159,367810,8475427.0
270,297323150.0,21716496,371814,8588540.0
271,296949746.0,22011753,375912,8662589.0
272,296581525.0,22272720,379217,8766538.0
273,296324069.0,22486135,381235,8808561.0
274,295990437.0,22700799,383334,8925430.0
275,295674859.0,22927766,387794,9009581.0
276,295349450.0,23158067,391788,9100695.0
277,294988634.0,23393833,395755,9221778.0
278,294680236.0,23636613,399667,9283484.0
279,294395216.0,23838471,403086,9363227.0
280,294173227.0,24016402,404987,9405384.0
281,293949130.0,24160000,406547,9484323.0
282,293660937.0,24336216,409253,9593594.0
283,293353009.0,24519477,413665,9713849.0
284,293106473.0,24713333,417851,9762343.0
285,292808227.0,24904093,421674,9866006.0
286,292563131.0,25074852,425048,9936969.0
287,292388983.0,25206050,426913,9978054.0
288,292113374.0,25357727,428887,10100012.0
289,291887934.0,25505353,432908,10173805.0
290,291629581.0,25659314,436854,10274251.0
291,291332575.0,25828118,440866,10398441.0
292,291099205.0,25994731,444510,10461554.0
293,290870401.0,26137190,447307,10545102.0
294,290715381.0,26249342,449170,10586107.0
295,290471579.0,26384317,451251,10692853.0
296,290294842.0,26499620,454671,10750867.0
297,290081176.0,26621311,458553,10838960.0
298,289820635.0,26745317,462300,10971748.0
299,289623514.0,26879739,465965,11030782.0
300,289438159.0,26983915,468651,11109275.0
301,289312424.0,27073661,470092,11143823.0
302,289136783.0,27164099,471706,11227412.0
303,288965797.0,27259364,474755,11300084.0
304,288751607.0,27354614,478059,11415720.0
305,288567355.0,27460378,481274,11490993.0
306,288407621.0,27560048,484204,11548127.0
307,288255291.0,27647267,486402,11611040.0
308,288157926.0,27712402,487574,11642098.0
309,288021003.0,27766681,488537,11723779.0
310,287909901.0,27829179,490283,11770637.0
311,287779973.0,27899318,492679,11828030.0
312,287634149.0,27969229,495193,11901429.0
313,287517266.0,28048511,497818,11936405.0
